,Grand_total,Forecast,County,Label
2012-11-28,6396.0,,Yuma,REP
2012-12-28,6327.0,,Yuma,REP
2013-01-28,6322.0,,Yuma,REP
2013-02-28,6331.0,,Yuma,REP
2013-03-28,6340.0,,Yuma,REP
2013-04-28,6348.0,,Yuma,REP
2013-05-28,6355.0,,Yuma,REP
2013-06-28,6366.0,,Yuma,REP
2013-07-28,6365.0,,Yuma,REP
2013-08-28,6371.0,,Yuma,REP
2013-09-28,6375.0,,Yuma,REP
2013-10-28,6375.0,,Yuma,REP
2013-11-28,6378.0,,Yuma,REP
2013-12-28,6392.0,,Yuma,REP
2014-01-28,6384.0,,Yuma,REP
2014-02-28,6019.0,,Yuma,REP
2014-03-28,6041.0,,Yuma,REP
2014-04-28,6046.0,,Yuma,REP
2014-05-28,6067.0,,Yuma,REP
2014-06-28,6087.0,,Yuma,REP
2014-07-28,6092.0,,Yuma,REP
2014-08-28,6101.0,,Yuma,REP
2014-09-28,6157.0,,Yuma,REP
2014-10-28,6207.0,,Yuma,REP
2014-11-28,6220.0,,Yuma,REP
2014-12-28,6215.0,,Yuma,REP
2015-01-28,5970.0,,Yuma,REP
2015-02-28,5976.0,,Yuma,REP
2015-03-28,5980.0,,Yuma,REP
2015-04-28,5968.0,,Yuma,REP
2015-05-28,5965.0,,Yuma,REP
2015-06-28,5962.0,,Yuma,REP
2015-07-28,5952.0,,Yuma,REP
2015-08-28,5959.0,,Yuma,REP
2015-09-28,5969.0,,Yuma,REP
2015-10-28,6012.0,,Yuma,REP
2015-11-28,6016.0,,Yuma,REP
2015-12-28,5995.0,,Yuma,REP
2016-01-28,6018.0,,Yuma,REP
2016-02-28,6038.0,,Yuma,REP
2016-03-28,6052.0,,Yuma,REP
2016-04-28,6067.0,,Yuma,REP
2016-05-28,6070.0,,Yuma,REP
2016-06-28,6073.0,,Yuma,REP
2016-07-28,6084.0,,Yuma,REP
2016-08-28,6104.0,,Yuma,REP
2016-09-28,6129.0,,Yuma,REP
2016-10-28,6214.0,,Yuma,REP
2016-11-28,6244.0,,Yuma,REP
2016-12-28,6238.0,,Yuma,REP
2017-01-28,5994.0,,Yuma,REP
2017-02-28,5998.0,,Yuma,REP
2017-03-28,6017.0,,Yuma,REP
2017-04-28,6005.0,,Yuma,REP
2017-05-28,6010.0,,Yuma,REP
2017-06-28,6026.0,,Yuma,REP
2017-07-28,6036.0,,Yuma,REP
2017-08-28,6058.0,,Yuma,REP
2017-09-28,6086.0,,Yuma,REP
2017-10-28,6098.0,,Yuma,REP
2017-11-28 00:00:00,,6117.90317927499,Yuma,REP
2017-12-28 00:00:00,,6149.819515394769,Yuma,REP
2018-01-28 00:00:00,,6349.104250320709,Yuma,REP
2018-02-28 00:00:00,,6003.002967275898,Yuma,REP
2018-03-28 00:00:00,,6042.807771812715,Yuma,REP
2018-04-28 00:00:00,,6067.649322555338,Yuma,REP
2018-05-28 00:00:00,,6110.401577538849,Yuma,REP
2018-06-28 00:00:00,,6154.4979503117,Yuma,REP
2018-07-28 00:00:00,,6186.345754041568,Yuma,REP
2018-08-28 00:00:00,,6225.092193603575,Yuma,REP
2018-09-28 00:00:00,,6313.706047785695,Yuma,REP
2018-10-28 00:00:00,,6400.300008440581,Yuma,REP
2018-11-28 00:00:00,,6453.646393906084,Yuma,REP
2018-12-28 00:00:00,,6508.488942959293,Yuma,REP
2019-01-28 00:00:00,,6184.3581485753275,Yuma,REP
2019-02-28 00:00:00,,6249.03319977639,Yuma,REP
2019-03-28 00:00:00,,6304.849246726515,Yuma,REP
2012-11-28,41550.0,,La Plata,DEM
2012-12-28,41732.0,,La Plata,DEM
2013-01-28,40877.0,,La Plata,DEM
2013-02-28,40957.0,,La Plata,DEM
2013-03-28,40894.0,,La Plata,DEM
2013-04-28,40983.0,,La Plata,DEM
2013-05-28,41059.0,,La Plata,DEM
2013-06-28,41144.0,,La Plata,DEM
2013-07-28,41245.0,,La Plata,DEM
2013-08-28,41373.0,,La Plata,DEM
2013-09-28,41468.0,,La Plata,DEM
2013-10-28,41532.0,,La Plata,DEM
2013-11-28,41578.0,,La Plata,DEM
2013-12-28,41785.0,,La Plata,DEM
2014-01-28,41923.0,,La Plata,DEM
2014-02-28,41811.0,,La Plata,DEM
2014-03-28,41883.0,,La Plata,DEM
2014-04-28,41788.0,,La Plata,DEM
2014-05-28,41727.0,,La Plata,DEM
2014-06-28,41794.0,,La Plata,DEM
2014-07-28,41929.0,,La Plata,DEM
2014-08-28,42096.0,,La Plata,DEM
2014-09-28,42570.0,,La Plata,DEM
2014-10-28,42787.0,,La Plata,DEM
2014-11-28,42829.0,,La Plata,DEM
2014-12-28,40154.0,,La Plata,DEM
2015-01-28,40145.0,,La Plata,DEM
2015-02-28,40160.0,,La Plata,DEM
2015-03-28,40248.0,,La Plata,DEM
2015-04-28,40283.0,,La Plata,DEM
2015-05-28,40374.0,,La Plata,DEM
2015-06-28,40385.0,,La Plata,DEM
2015-07-28,40535.0,,La Plata,DEM
2015-08-28,40672.0,,La Plata,DEM
2015-09-28,40750.0,,La Plata,DEM
2015-10-28,40832.0,,La Plata,DEM
2015-11-28,40965.0,,La Plata,DEM
2015-12-28,41117.0,,La Plata,DEM
2016-01-28,41227.0,,La Plata,DEM
2016-02-28,41349.0,,La Plata,DEM
2016-03-28,41549.0,,La Plata,DEM
2016-04-28,41686.0,,La Plata,DEM
2016-05-28,41835.0,,La Plata,DEM
2016-06-28,41962.0,,La Plata,DEM
2016-07-28,42230.0,,La Plata,DEM
2016-08-28,42569.0,,La Plata,DEM
2016-09-28,43397.0,,La Plata,DEM
2016-10-28,44397.0,,La Plata,DEM
2016-11-28,44784.0,,La Plata,DEM
2016-12-28,44828.0,,La Plata,DEM
2017-01-28,42664.0,,La Plata,DEM
2017-02-28,42700.0,,La Plata,DEM
2017-03-28,42779.0,,La Plata,DEM
