county,apr_2016active_dem,apr_2016active_rep,apr_2016active_uaf,apr_2016total_active,apr_2016inactive_dem,apr_2016inactive_rep,apr_2016inactive_uaf,apr_2016total_inactive,apr_2016grand_total,aug_2016active_dem,aug_2016active_rep,aug_2016active_uaf,aug_2016total_active,aug_2016inactive_dem,aug_2016inactive_rep,aug_2016inactive_uaf,aug_2016total_inactive,aug_2016grand_total,dec_2015active_dem,dec_2015active_rep,dec_2015active_uaf,dec_2015total_active,dec_2015inactive_dem,dec_2015inactive_rep,dec_2015inactive_uaf,dec_2015total_inactive,dec_2015grand_total,feb_2016active_dem,feb_2016active_rep,feb_2016active_uaf,feb_2016total_active,feb_2016inactive_dem,feb_2016inactive_rep,feb_2016inactive_uaf,feb_2016total_inactive,feb_2016grand_total,jan_2016active_dem,jan_2016active_rep,jan_2016active_uaf,jan_2016total_active,jan_2016inactive_dem,jan_2016inactive_rep,jan_2016inactive_uaf,jan_2016total_inactive,jan_2016grand_total,july_2016active_dem,july_2016active_rep,july_2016active_uaf,july_2016total_active,july_2016inactive_dem,july_2016inactive_rep,july_2016inactive_uaf,july_2016total_inactive,july_2016grand_total,june_2016active_dem,june_2016active_rep,june_2016active_uaf,june_2016total_active,june_2016inactive_dem,june_2016inactive_rep,june_2016inactive_uaf,june_2016total_inactive,june_2016grand_total,mar_2016active_dem,mar_2016active_rep,mar_2016active_uaf,mar_2016total_active,mar_2016inactive_dem,mar_2016inactive_rep,mar_2016inactive_uaf,mar_2016total_inactive,mar_2016grand_total,may_2016active_dem,may_2016active_rep,may_2016active_uaf,may_2016total_active,may_2016inactive_dem,may_2016inactive_rep,may_2016inactive_uaf,may_2016total_inactive,may_2016grand_total,nov_2015active_dem,nov_2015active_rep,nov_2015active_uaf,nov_2015total_active,nov_2015inactive_dem,nov_2015inactive_rep,nov_2015inactive_uaf,nov_2015total_inactive,nov_2015grand_total,oct_2016active_dem,oct_2016active_rep,oct_2016active_uaf,oct_2016total_active,oct_2016inactive_dem,oct_2016inactive_rep,oct_2016inactive_uaf,oct_2016total_inactive,oct_2016grand_total,sept_2016active_dem,sept_2016active_rep,sept_2016active_uaf,sept_2016total_active,sept_2016inactive_dem,sept_2016inactive_rep,sept_2016inactive_uaf,sept_2016total_inactive,sept_2016grand_total
Adams,76158,54626,81264,212048,13091,8157,17831,39079,251127,79495,56772,83631,219898,13891,9188,17977,41056,260954,72435,52591,78527,203553,14486,8888,19342,42716,246269,74165,53493,79205,206863,14016,8583,18791,41390,248253,73452,53174,78999,205625,14286,8774,19109,42169,247794,77923,55987,81338,215248,14642,9652,18547,42841,258089,79976,57364,79648,216988,12436,7897,18883,39216,256204,75383,54199,80139,209721,13487,8280,18221,39988,249709,77689,55779,82178,215646,12788,8031,17510,38329,253975,71777,52313,78150,202240,14761,9001,19606,43368,245608,85874,60979,92895,239748,10614,7136,14774,32524,272272,81773,58179,87073,227025,12497,8363,16834,37694,264719
Alamosa,2961,2242,2215,7418,553,350,735,1638,9056,3001,2292,2269,7562,606,375,757,1738,9300,2846,2196,2106,7148,589,386,780,1755,8903,2911,2223,2144,7278,573,362,756,1691,8969,2887,2207,2124,7218,582,370,772,1724,8942,2952,2256,2204,7412,629,395,780,1804,9216,3052,2310,2167,7529,540,342,783,1665,9194,2941,2238,2178,7357,558,353,742,1653,9010,2990,2268,2242,7500,547,346,737,1630,9130,2842,2176,2101,7119,595,398,797,1790,8909,3245,2487,2660,8392,485,322,667,1474,9866,3129,2372,2494,7995,546,357,730,1633,9628
Arapahoe,109603,101266,118321,329190,22457,14623,32480,69560,398750,114374,102557,123096,340027,23704,16361,29696,69761,409788,102870,98247,113576,314693,25192,16290,35292,76774,391467,105772,99691,114946,320409,23964,15388,34021,73373,393782,104638,99335,114772,318745,24294,15488,34342,74124,392869,111010,101310,119084,331404,25626,17476,30489,73591,404995,114824,104397,116678,335899,21275,14091,31240,66606,402505,108096,100627,116226,324949,23234,14933,33262,71429,396378,110874,101869,118944,331687,21991,14401,31925,68317,400004,101369,97639,112833,311841,25575,16687,35839,78101,389942,123535,107501,134729,365765,18407,13015,24818,56240,422005,117630,104065,127397,349092,21441,15060,27850,64351,413443
Archuleta,1852,3820,2299,7971,446,743,769,1958,9929,1883,3878,2322,8083,506,842,735,2083,10166,1766,3720,2202,7688,457,787,799,2043,9731,1812,3779,2234,7825,454,756,781,1991,9816,1793,3740,2208,7741,456,772,787,2015,9756,1860,3847,2242,7949,513,860,748,2121,10070,1924,3958,2198,8080,441,728,755,1924,10004,1842,3806,2267,7915,449,746,774,1969,9884,1882,3893,2233,8008,447,736,790,1973,9981,1711,3698,2183,7592,462,804,806,2072,9664,1997,4141,2545,8683,444,737,650,1831,10514,1936,3982,2414,8332,479,804,704,1987,10319
Baca,621,1199,674,2494,60,109,128,297,2791,601,1263,616,2480,70,128,135,333,2813,629,1154,655,2438,66,129,138,333,2771,622,1173,673,2468,63,114,131,308,2776,626,1159,668,2453,62,125,135,322,2775,610,1266,604,2480,71,127,137,335,2815,625,1283,593,2501,62,109,136,307,2808,625,1186,672,2483,61,112,131,304,2787,620,1231,642,2493,60,109,135,304,2797,631,1152,647,2430,66,132,139,337,2767,607,1304,642,2553,57,113,122,292,2845,604,1268,635,2507,66,120,130,316,2823
Bent,761,844,655,2260,173,137,238,548,2808,755,885,658,2298,180,145,230,555,2853,752,821,626,2199,184,149,259,592,2791,754,829,635,2218,177,144,251,572,2790,754,825,626,2205,181,146,255,582,2787,755,876,648,2279,181,148,233,562,2841,771,886,636,2293,169,133,235,537,2830,760,841,643,2244,176,138,243,557,2801,767,865,647,2279,172,137,241,550,2829,750,816,620,2186,185,153,260,598,2784,795,924,730,2449,157,127,210,494,2943,763,890,672,2325,169,136,221,526,2851
Boulder,86578,34889,72878,194345,18825,9377,29686,57888,252233,89307,35029,72690,197026,19823,9756,29116,58695,255721,80772,34273,71176,186221,20678,9980,31928,62586,248807,83582,34552,71257,189391,19627,9621,30723,59971,249362,82540,34443,71051,188034,20214,9821,31398,61433,249467,87643,34805,72068,194516,20946,10108,28717,59771,254287,90239,35836,70973,197048,18317,9212,28981,56510,253558,85499,34765,71651,191915,19106,9474,30086,58666,250581,88439,35366,71660,195465,18577,9317,29364,57258,252723,78859,34144,71676,184679,21025,10096,32439,63560,248239,96468,36861,81078,214407,16241,8368,24975,49584,263991,92216,35570,75962,203748,18409,9265,27679,55353,259101
Broomfield,11598,11996,14925,38519,2021,1942,3644,7607,46126,12201,12036,15668,39905,2217,2171,3507,7895,47800,10834,11595,14310,36739,2237,2070,3934,8241,44980,11269,11830,14471,37570,2127,1997,3805,7929,45499,11026,11703,14376,37105,2206,2053,3880,8139,45244,11923,11929,15247,39099,2329,2283,3622,8234,47333,12225,12345,14805,39375,1940,1900,3687,7527,46902,11468,11907,14678,38053,2072,1968,3714,7754,45807,11923,12160,14800,38883,1996,1916,3700,7612,46495,10548,11517,14257,36322,2277,2087,4005,8369,44691,13139,12653,17355,43147,1726,1767,2877,6370,49517,12546,12212,16331,41089,1997,2034,3271,7302,48391
Chaffee,3246,4311,4253,11810,456,609,1040,2105,13915,3380,4415,4240,12035,491,640,1027,2158,14193,3062,4266,4106,11434,510,670,1141,2321,13755,3174,4302,4142,11618,470,633,1086,2189,13807,3127,4285,4109,11521,485,650,1108,2243,13764,3330,4380,4126,11836,513,670,1058,2241,14077,3403,4449,4034,11886,447,591,1072,2110,13996,3226,4317,4204,11747,462,616,1049,2127,13874,3286,4325,4266,11877,448,597,1024,2069,13946,2995,4239,4112,11346,519,690,1136,2345,13691,3502,4643,4675,12820,404,551,856,1811,14631,3411,4482,4416,12309,453,616,966,2035,14344
Cheyenne,153,848,290,1291,18,54,48,120,1411,157,836,288,1281,22,72,50,144,1425,152,844,288,1284,18,54,51,123,1407,156,843,286,1285,18,56,49,123,1408,155,845,286,1286,18,55,49,122,1408,154,831,282,1267,23,77,50,150,1417,159,854,282,1295,18,53,50,121,1416,154,845,286,1285,18,54,49,121,1406,154,851,287,1292,18,53,51,122,1414,151,841,288,1280,17,57,51,125,1405,159,846,308,1313,21,64,45,130,1443,158,838,299,1295,21,67,47,135,1430
