county,active_dem,active_rep,active_uaf,total_active,inactive_dem,inactive_rep,inactive_uaf,total_inactive,grand_total,year,month
Adams,87561,62435,95696,245692,6455,4339,11529,22323,268015,2017,apr
Alamosa,3316,2575,2778,8669,309,213,537,1059,9728,2017,apr
Arapahoe,126418,108208,138242,372868,10499,7370,18224,36093,408961,2017,apr
Archuleta,2003,4228,2640,8871,355,576,464,1395,10266,2017,apr
Baca,596,1314,659,2569,35,66,108,209,2778,2017,apr
Bent,794,913,758,2465,157,137,211,505,2970,2017,apr
Boulder,96808,36860,82971,216639,6698,2663,10659,20020,236659,2017,apr
Broomfield,13310,12680,17854,43844,1135,1114,2237,4486,48330,2017,apr
Chaffee,3510,4686,4805,13001,243,328,700,1271,14272,2017,apr
Cheyenne,160,839,307,1306,16,52,36,104,1410,2017,apr
Clear Creek,2144,2096,2780,7020,207,182,423,812,7832,2017,apr
Conejos,2376,1775,760,4911,183,134,153,470,5381,2017,apr
Costilla,1544,379,509,2432,82,31,111,224,2656,2017,apr
Crowley,424,957,498,1879,41,49,78,168,2047,2017,apr
Custer,505,2167,839,3511,35,116,90,241,3752,2017,apr
Delta,3561,9495,6734,19790,202,467,712,1381,21171,2017,apr
Denver,197232,58363,145688,401283,16566,5844,23290,45700,446983,2017,apr
Dolores,342,700,408,1450,37,48,119,204,1654,2017,apr
Douglas,43878,98899,75268,218045,3276,7032,7671,17979,236024,2017,apr
Eagle,9195,7940,13530,30665,812,771,2152,3735,34400,2017,apr
El Paso,85077,163811,145525,394413,9422,12952,23029,45403,439816,2017,apr
Elbert,2313,10304,5817,18434,145,488,484,1117,19551,2017,apr
Fremont,5144,12066,9714,26924,498,971,1512,2981,29905,2017,apr
Garfield,8255,10530,13562,32347,482,644,1901,3027,35374,2017,apr
Gilpin,1252,1141,1850,4243,175,141,330,646,4889,2017,apr
Grand,2331,4308,3854,10493,149,230,488,867,11360,2017,apr
Gunnison,3641,2879,4801,11321,382,363,909,1654,12975,2017,apr
Hinsdale,114,412,153,679,9,33,22,64,743,2017,apr
Huerfano,2009,1242,1245,4496,145,110,203,458,4954,2017,apr
Jackson,112,690,184,986,30,108,68,206,1192,2017,apr
Jefferson,118064,117767,151637,387468,9246,8117,16358,33721,421189,2017,apr
Kiowa,143,578,234,955,11,29,32,72,1027,2017,apr
Kit Carson,574,2566,1219,4359,56,172,249,477,4836,2017,apr
La Plata,12041,11243,13369,36653,1710,1497,2975,6182,42835,2017,apr
Lake,1866,803,1448,4117,232,127,344,703,4820,2017,apr
Larimer,64199,73274,92893,230366,3996,4198,11075,19269,249635,2017,apr
Las Animas,3952,2252,2245,8449,552,406,554,1512,9961,2017,apr
Lincoln,392,1698,659,2749,62,142,160,364,3113,2017,apr
Logan,1829,5931,3627,11387,223,421,765,1409,12796,2017,apr
Mesa,17915,41299,33750,92964,4018,7441,10050,21509,114473,2017,apr
Mineral,263,317,150,730,16,26,25,67,797,2017,apr
Moffat,861,4378,2315,7554,309,795,983,2087,9641,2017,apr
Montezuma,3673,7665,5299,16637,557,742,1210,2509,19146,2017,apr
Montrose,4560,12026,8534,25120,259,643,901,1803,26923,2017,apr
Morgan,2949,6480,5267,14696,219,301,615,1135,15831,2017,apr
Otero,3429,3993,3450,10872,288,227,512,1027,11899,2017,apr
Ouray,1161,1310,1346,3817,112,211,234,557,4374,2017,apr
Park,2539,5077,4794,12410,253,470,682,1405,13815,2017,apr
Phillips,431,1571,711,2713,104,198,159,461,3174,2017,apr
Pitkin,4902,2153,5732,12787,622,367,1168,2157,14944,2017,apr
Prowers,1397,2967,1957,6321,135,284,445,864,7185,2017,apr
Pueblo,42243,25788,32100,100131,2883,1673,4494,9050,109181,2017,apr
Rio Blanco,341,2775,837,3953,34,186,248,468,4421,2017,apr
Rio Grande,2156,2768,1867,6791,225,286,434,945,7736,2017,apr
Routt,5184,4774,7194,17152,578,560,1269,2407,19559,2017,apr
Saguache,1670,849,1148,3667,184,82,261,527,4194,2017,apr
San Juan,172,137,307,616,22,19,56,97,713,2017,apr
San Miguel,2500,927,1911,5338,323,112,394,829,6167,2017,apr
Sedgwick,238,895,419,1552,31,91,95,217,1769,2017,apr
Summit,6325,4606,9192,20123,1564,1263,3210,6037,26160,2017,apr
Teller,2770,8410,5916,17096,333,761,943,2037,19133,2017,apr
Washington,276,2207,591,3074,32,140,89,261,3335,2017,apr
Weld,38598,63583,63542,165723,3214,4310,7620,15144,180867,2017,apr
Yuma,817,3086,1683,5586,69,169,181,419,6005,2017,apr
Adams,87821,62624,98926,249371,6428,4408,11483,22319,271690,2017,aug
Alamosa,3301,2583,2875,8759,308,214,528,1050,9809,2017,aug
Arapahoe,126958,107795,142733,377486,10415,7437,18146,35998,413484,2017,aug
Archuleta,2017,4246,2801,9064,353,558,454,1365,10429,2017,aug
Baca,583,1324,700,2607,32,66,105,203,2810,2017,aug
Bent,789,918,792,2499,146,134,201,481,2980,2017,aug
Boulder,96285,36406,84507,217198,6978,2736,10817,20531,237729,2017,aug
Broomfield,13489,12722,18545,44756,1138,1146,2287,4571,49327,2017,aug
Chaffee,3528,4679,4942,13149,241,319,697,1257,14406,2017,aug
Cheyenne,158,840,313,1311,15,52,35,102,1413,2017,aug
Clear Creek,2138,2089,2874,7101,205,181,423,809,7910,2017,aug
Conejos,2377,1775,817,4969,175,127,149,451,5420,2017,aug
Costilla,1555,388,537,2480,82,28,110,220,2700,2017,aug
Crowley,434,955,522,1911,39,49,76,164,2075,2017,aug
Custer,501,2200,899,3600,35,114,90,239,3839,2017,aug
Delta,3569,9565,6919,20053,201,462,690,1353,21406,2017,aug
Denver,196637,57734,148706,403077,17235,6013,23834,47082,450159,2017,aug
Dolores,338,706,417,1461,37,48,116,201,1662,2017,aug
Douglas,44108,99218,77894,221220,3364,7259,7820,18443,239663,2017,aug
Eagle,9252,7960,14031,31243,802,764,2128,3694,34937,2017,aug
El Paso,83815,161913,147389,393117,11403,15566,26686,53655,446772,2017,aug
Elbert,2318,10372,6003,18693,149,497,480,1126,19819,2017,aug
Fremont,5143,12115,9891,27149,502,985,1511,2998,30147,2017,aug
Garfield,8247,10566,14023,32836,494,666,1898,3058,35894,2017,aug
Gilpin,1252,1145,1913,4310,169,134,323,626,4936,2017,aug
Grand,2365,4321,4029,10715,150,222,489,861,11576,2017,aug
Gunnison,3654,2874,4916,11444,375,356,892,1623,13067,2017,aug
Hinsdale,115,419,161,695,9,31,22,62,757,2017,aug
Huerfano,1996,1258,1330,4584,151,112,201,464,5048,2017,aug
Jackson,110,700,203,1013,30,106,68,204,1217,2017,aug
Jefferson,118053,117148,155400,390601,9255,8209,16382,33846,424447,2017,aug
Kiowa,138,579,244,961,11,27,30,68,1029,2017,aug
Kit Carson,568,2574,1276,4418,58,173,244,475,4893,2017,aug
La Plata,12041,11262,13857,37160,1703,1496,2932,6131,43291,2017,aug
Lake,1841,824,1544,4209,231,129,349,709,4918,2017,aug
Larimer,64194,73212,95224,232630,4112,4276,11092,19480,252110,2017,aug
Las Animas,3928,2303,2428,8659,545,402,547,1494,10153,2017,aug
Lincoln,389,1695,690,2774,58,142,157,357,3131,2017,aug
Logan,1806,5911,3664,11381,229,421,752,1402,12783,2017,aug
Mesa,17880,41197,34673,93750,4028,7556,10092,21676,115426,2017,aug
Mineral,264,319,159,742,16,26,25,67,809,2017,aug
Moffat,851,4370,2404,7625,306,787,965,2058,9683,2017,aug
Montezuma,3651,7664,5524,16839,558,734,1193,2485,19324,2017,aug
Montrose,4539,12064,8797,25400,255,647,892,1794,27194,2017,aug
Morgan,2950,6520,5446,14916,214,304,611,1129,16045,2017,aug
Otero,3452,4019,3595,11066,271,219,508,998,12064,2017,aug
Ouray,1141,1296,1413,3850,115,213,232,560,4410,2017,aug
