Date,County,Active Dem,Active Rep,Active Uaf,Total Active,Inactive Dem,Inactive Rep,Inactive Uaf,Total Inactive,Grand Total,Year,Month,Label,Active Dem_change,Active Rep_change,Active Uaf_change,Total Active_change,Inactive Dem_change,Inactive Rep_change,Inactive Uaf_change,Total Inactive_change,Grand Total_change
2012-11-28,Yuma,800,2644,1234,4678,279,702,737,1718,6396,2012,nov,REP,,,,,,,,,
2012-11-28,La Plata,9767,9781,10136,29684,3136,3093,5637,11866,41550,2012,nov,DEM,,,,,,,,,
2012-11-28,Lake,1559,652,900,3111,630,308,898,1836,4947,2012,nov,DEM,,,,,,,,,
2012-11-28,Larimer,51489,63543,67270,182302,13495,15121,30214,58830,241132,2012,nov,DEM,,,,,,,,,
2012-11-28,Las Animas,3763,1833,1378,6974,1391,806,1164,3361,10335,2012,nov,Swing,,,,,,,,,
2012-11-28,Lincoln,392,1397,523,2312,198,387,378,963,3275,2012,nov,REP,,,,,,,,,
2012-11-28,Logan,1839,5028,2417,9284,557,1008,1509,3074,12358,2012,nov,REP,,,,,,,,,
2012-11-28,Mesa,16394,36840,26784,80018,5214,9607,12496,27317,107335,2012,nov,REP,,,,,,,,,
2012-11-28,Mineral,313,254,109,676,71,54,35,160,836,2012,nov,Swing,,,,,,,,,
2012-11-28,Moffat,831,3789,1673,6293,523,1182,1511,3216,9509,2012,nov,REP,,,,,,,,,
2012-11-28,Montezuma,3080,6629,3768,13477,1518,2035,2388,5941,19418,2012,nov,Swing,,,,,,,,,
2012-11-28,Montrose,3957,10207,6394,20558,1151,2293,3450,6894,27452,2012,nov,REP,,,,,,,,,
2012-11-28,Morgan,2697,5315,3654,11666,801,1225,1734,3760,15426,2012,nov,REP,,,,,,,,,
2012-11-28,Otero,2970,3386,1992,8348,1359,1013,1744,4116,12464,2012,nov,Swing,,,,,,,,,
2012-11-28,Park,2100,4144,3359,9603,690,1113,1660,3463,13066,2012,nov,Swing,,,,,,,,,
2012-11-28,Phillips,405,1368,524,2297,166,363,325,854,3151,2012,nov,REP,,,,,,,,,
2012-11-28,Pitkin,3964,1989,4714,10667,1271,821,2163,4255,14922,2012,nov,DEM,,,,,,,,,
2012-11-28,Prowers,1215,2375,1359,4949,539,805,1060,2404,7353,2012,nov,REP,,,,,,,,,
2012-11-28,Pueblo,39895,21595,23914,85404,10901,6146,12484,29531,114935,2012,nov,DEM,,,,,,,,,
2012-11-28,Rio Blanco,346,2426,639,3411,146,575,612,1333,4744,2012,nov,REP,,,,,,,,,
2012-11-28,Rio Grande,1862,2606,1210,5678,653,721,902,2276,7954,2012,nov,Swing,,,,,,,,,
2012-11-28,Routt,4145,4185,5188,13518,1383,1368,2677,5428,18946,2012,nov,DEM,,,,,,,,,
2012-11-28,Saguache,1507,670,831,3008,489,261,554,1304,4312,2012,nov,DEM,,,,,,,,,
