Date,County,Year,Month,Label,Active Dem_change,Active Rep_change,Active Uaf_change,Total Active_change,Inactive Dem_change,Inactive Rep_change,Inactive Uaf_change,Total Inactive_change,Grand Total_change,pres_2016_sim_label
2016-11-28,Yuma,2016,nov,REP,-0.008343265792610244,0.00520663846404168,-0.01097560975609757,-0.0016210374639769045,0.03846153846153855,0.010309278350515427,0.11985018726591767,0.05891238670694854,0.004827808175088544,Donald Trump
2016-12-28,Yuma,2016,dec,REP,-0.0036057692307692735,0.002266105535772001,0.003082614056720168,0.0016236694930542586,-0.01851851851851849,-0.02380952380952384,-0.02006688963210701,-0.021398002853067036,-0.0009609224855862133,Donald Trump
2017-01-28,Yuma,2017,jan,REP,0.0024125452352230514,0.0009689922480620172,0.006760909649661917,0.002881844380403509,-0.3490566037735849,-0.4041811846689896,-0.3651877133105802,-0.3790087463556852,-0.039115100993908365,Donald Trump
2017-02-28,Yuma,2017,feb,REP,-0.003610108303249149,-0.0025814778960955302,0.01098901098901095,0.0012571839080459668,0.0,0.0,-0.016129032258064502,-0.007042253521126751,0.0006673340006673191,Donald Trump
2017-03-28,Yuma,2017,mar,REP,-0.004830917874396157,0.0022646392753153943,0.01147342995169076,0.003946188340807177,-0.01449275362318836,-0.005847953216374324,-0.005464480874316946,-0.007092198581560294,0.0031677225741912896,Donald Trump
2017-04-28,Yuma,2017,apr,REP,-0.008495145631068013,-0.003873466752743693,0.004776119402985168,-0.0019653385742361973,0.014705882352941124,-0.00588235294117645,-0.005494505494505475,-0.0023809523809523725,-0.0019943493435267134,Donald Trump
2017-05-28,Yuma,2017,may,REP,0.0,-0.0003240440699935343,0.005941770647653001,0.0016111707841031107,-0.028985507246376833,0.0,-0.011049723756906049,-0.009546539379474916,0.0008326394671107629,Donald Trump
2017-06-28,Yuma,2017,june,REP,-0.001223990208078285,0.0006482982171798213,0.008860011813349056,0.0028596961572833197,-0.0149253731343284,0.00591715976331364,0.0,0.0,0.0026622296173044453,Donald Trump
2017-07-28,Yuma,2017,july,REP,-0.01225490196078427,0.0,0.012295081967213184,0.001960434860096339,0.015151515151515138,0.00588235294117645,-0.016759776536312887,-0.002409638554216831,0.0016594756057086713,Donald Trump
2017-08-28,Yuma,2017,aug,REP,-0.006203473945409432,-0.0009718172983479434,0.019664545980335516,0.00462468872287447,-0.029850746268656688,0.0,-0.011363636363636355,-0.009661835748792312,0.0036447978793903157,Donald Trump
2017-09-28,Yuma,2017,sept,REP,-0.006242197253433225,0.0012970168612191912,0.015314804310833763,0.0046033994334278025,0.0,0.005847953216374213,0.005747126436781658,0.004878048780487809,0.004621987454605403,Donald Trump
2017-10-28,Yuma,2017,oct,REP,0.0,-0.002590673575129543,0.00893854748603351,0.0014099400775466895,0.0,0.005813953488372103,0.017142857142857126,0.009708737864077666,0.0019717384160367053,Donald Trump
2016-11-28,La Plata,2016,nov,DEM,0.005420054200542035,0.01192504258943772,-0.006170052671181314,0.003194975423266077,0.009421265141319024,-0.012419503219871177,0.08180201541197385,0.034717757490034806,0.008716805189539878,Hillary Clinton
2016-12-28,La Plata,2016,dec,DEM,-0.0005717552887364308,0.0032783980152402137,0.008706844336765496,0.003946974439937856,-0.010222222222222244,-0.014438751746623237,-0.01287671232876708,-0.012551261339629692,0.0009824937477671547,Hillary Clinton
2017-01-28,La Plata,2017,jan,DEM,-0.0006538084341287664,-0.0005298949041773193,0.004278315694663304,0.001165880375250783,-0.3093848226313426,-0.32419659735349715,-0.2309186788787122,-0.27774981122577397,-0.04827340055322571,Hillary Clinton
2017-02-28,La Plata,2017,feb,DEM,0.0006542361792607476,0.0004418132013783716,0.003886397608370729,0.0017603249830737688,-0.0058517555266579535,-0.009790209790209836,-0.0021652832912305575,-0.005053145147238203,0.000843802737671151,Hillary Clinton
2017-03-28,La Plata,2017,mar,DEM,-0.001307616868257644,0.0005299417064121846,0.00699821322215599,0.002270884022708808,-0.0019620667102681066,0.0014124293785311435,-0.0014466546112116285,-0.0008756567425569628,0.0018501170960187887,Hillary Clinton
2017-04-28,La Plata,2017,apr,DEM,-0.014648117839607178,-0.007503531073446369,-0.01160727487801272,-0.011355667044289808,0.1205766710353866,0.05571227080394925,0.07750814922129656,0.08361086765994741,0.0013090535075621634,Hillary Clinton
2017-05-28,La Plata,2017,may,DEM,0.0007474462253964642,0.0005336653917993316,0.008078390305931604,0.003355796251329979,0.0005847953216373548,0.002672010688042681,-0.0013445378151260012,0.00016175994823686146,0.002894828994980836,Hillary Clinton
2017-06-28,La Plata,2017,june,DEM,0.0014107883817426892,0.0017779358165170844,0.007420048972323291,0.0037252556014792937,-0.0058445353594389635,-0.00532978014656893,-0.003029283069673539,-0.004366812227074246,0.0025605810191111637,Hillary Clinton
2017-07-28,La Plata,2017,july,DEM,-0.0022375072511808813,-0.0009761292040110224,0.009206746703984692,0.002356893235445412,-0.008230452674897082,-0.0020093770931011172,-0.007765023632680612,-0.0064977257959714105,0.0010912721446980633,Hillary Clinton
2017-08-28,La Plata,2017,aug,DEM,8.305647840534114e-05,0.00035530289571861223,0.011312217194570096,0.004324324324324279,0.009484291641967957,0.00402684563758382,-0.0023817625042531487,0.002452583387835272,0.00405881807217745,Hillary Clinton
